signal,position,position_change,actual_return,gross_return,transaction_cost,net_return,cumulative_return
0,0,0,-0.0013862439343656,-0.0,0.0,-0.0,0.0
0,0,0,-0.0084170366738326,-0.0,0.0,-0.0,0.0
0,0,0,-0.0191297837626551,-0.0,0.0,-0.0,0.0
0,0,0,-0.0144955451964172,-0.0,0.0,-0.0,0.0
0,0,0,0.010596056236095,0.0,0.0,0.0,0.0
0,0,0,-0.0093689577471096,-0.0,0.0,-0.0,0.0
0,0,0,-0.0111252365902478,-0.0,0.0,-0.0,0.0
0,0,0,-0.0080112468117568,-0.0,0.0,-0.0,0.0
0,0,0,0.0008296435094018,0.0,0.0,0.0,0.0
0,0,0,-0.0107927701532251,-0.0,0.0,-0.0,0.0
0,0,0,0.0009082267321149,0.0,0.0,0.0,0.0
0,0,0,-0.0061619780006276,-0.0,0.0,-0.0,0.0
0,0,0,-0.001249094195535,-0.0,0.0,-0.0,0.0
0,0,0,0.0041906289115492,0.0,0.0,0.0,0.0
0,0,0,-0.0014098990873224,-0.0,0.0,-0.0,0.0
0,0,0,0.0002164116409689,0.0,0.0,0.0,0.0
0,0,0,0.0121187350172494,0.0,0.0,0.0,0.0
0,0,0,-0.0024448484901029,-0.0,0.0,-0.0,0.0
0,0,0,-0.004403967731289,-0.0,0.0,-0.0,0.0
0,0,0,-0.0076169190665124,-0.0,0.0,-0.0,0.0
0,0,0,0.0019940337113689,0.0,0.0,0.0,0.0
0,0,0,-0.0029760138444464,-0.0,0.0,-0.0,0.0
0,0,0,0.0020711953178864,0.0,0.0,0.0,0.0
0,0,0,0.0028391081338538,0.0,0.0,0.0,0.0
-1,-1,-1,-0.0061999441529537,0.0061999441529537,0.005,0.0011999441529536997,0.001199944152953769
0,0,1,0.0049543868262164,0.0,0.005,-0.005,-0.0038060555678109953
0,0,0,0.0006955499768797,0.0,0.0,0.0,-0.0038060555678109953
-1,-1,-1,-0.0021999575375508,0.0021999575375508,0.005,-0.0028000424624492,-0.006595440913055972
0,0,1,-0.0041481087549103,-0.0,0.005,-0.005,-0.011562463708490678
0,0,0,-0.0031822861205275,-0.0,0.0,-0.0,-0.011562463708490678
-1,-1,-1,-0.0104528118479263,0.0104528118479263,0.005,0.0054528118479263,-0.006172699799665282
-1,-1,0,0.003513665529713,-0.003513665529713,0.0,-0.003513665529713,-0.009664676526866978
0,0,1,-0.0026451665984865,-0.0,0.005,-0.005,-0.014616353144232597
0,0,0,-0.0032764632477853,-0.0,0.0,-0.0,-0.014616353144232597
0,0,0,0.005866662757424,0.0,0.0,0.0,-0.014616353144232597
0,0,0,-0.003783572991923,-0.0,0.0,-0.0,-0.014616353144232597
0,0,0,-0.0080887992309479,-0.0,0.0,-0.0,-0.014616353144232597
0,0,0,0.0086782778470389,0.0,0.0,0.0,-0.014616353144232597
0,0,0,0.0013077641373578,0.0,0.0,0.0,-0.014616353144232597
0,0,0,-0.0047670711119262,-0.0,0.0,-0.0,-0.014616353144232597
0,0,0,0.0129716613823472,0.0,0.0,0.0,-0.014616353144232597
0,0,0,-0.011337763267581,-0.0,0.0,-0.0,-0.014616353144232597
0,0,0,-0.0114798508877156,-0.0,0.0,-0.0,-0.014616353144232597
0,0,0,-0.0040655172360723,-0.0,0.0,-0.0,-0.014616353144232597
0,0,0,0.0021628315405654,0.0,0.0,0.0,-0.014616353144232597
0,0,0,-0.0039248803441819,-0.0,0.0,-0.0,-0.014616353144232597
0,0,0,0.0021332459830867,0.0,0.0,0.0,-0.014616353144232597
0,0,0,0.0040193160464641,0.0,0.0,0.0,-0.014616353144232597
-1,-1,-1,-0.0050593053929263,0.0050593053929263,0.005,5.930539292629995e-05,-0.014557914579872655
0,0,1,-0.006305380289849,-0.0,0.005,-0.005,-0.019485125006973303
1,1,1,-0.0059443271955412,-0.0059443271955412,0.005,-0.0109443271955412,-0.030216200618992106
0,0,-1,-0.0114992215638605,-0.0,0.005,-0.005,-0.0350651196158972
0,0,0,-0.0104364364983652,-0.0,0.0,-0.0,-0.0350651196158972
1,1,1,-0.0027503340316207,-0.0027503340316207,0.005,-0.0077503340316207,-0.04254368725763602
0,0,-1,0.0020477472093687,0.0,0.005,-0.005,-0.047330968821347796
0,0,0,0.000726956259921,0.0,0.0,0.0,-0.047330968821347796
0,0,0,0.0035484577757113,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0009719172276838,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0010002103414148,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0071334650213786,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,-0.0021056200650568,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0058871109337143,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0036551710284699,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.003119348420193,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.003279646897665,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0001909196844609,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0022087576920024,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0015406910565529,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0070307950319833,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0013163804598293,0.0,0.0,0.0,-0.047330968821347796
0,0,0,0.0003857624450861,0.0,0.0,0.0,-0.047330968821347796
0,0,0,0.0010239002535009,0.0,0.0,0.0,-0.047330968821347796
0,0,0,0.0102915788414182,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0030672191741534,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,-0.0016871481731218,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0069930349552169,0.0,0.0,0.0,-0.047330968821347796
0,0,0,0.0035156773259965,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.000200013941511,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,-0.0061644320802347,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0028338178346974,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0018483387688504,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0031324627902872,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0044662003973597,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0083688323346236,0.0,0.0,0.0,-0.047330968821347796
0,0,0,0.0059854299698354,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0078267830085773,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0007902166070633,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0049795104942915,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,-0.0032643959141716,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,-0.0167170636524586,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,-0.0090003139647966,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,-0.0152338690301977,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,-0.0056530610395073,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0018224770708198,0.0,0.0,0.0,-0.047330968821347796
0,0,0,0.0043537760199882,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0046355593007716,-0.0,0.0,-0.0,-0.047330968821347796
0,0,0,0.0018724550337666,0.0,0.0,0.0,-0.047330968821347796
0,0,0,9.775571324485612e-07,0.0,0.0,0.0,-0.047330968821347796
0,0,0,0.0024954378478303,0.0,0.0,0.0,-0.047330968821347796
0,0,0,0.0054445117157599,0.0,0.0,0.0,-0.047330968821347796
0,0,0,-0.0109409830344294,-0.0,0.0,-0.0,-0.047330968821347796
1,1,1,0.0024065942372993,0.0024065942372993,0.005,-0.0025934057627007,-0.04980162617675299
0,0,-1,-0.0046221181663654,-0.0,0.005,-0.005,-0.054552618045869194
0,0,0,-0.0067489362513249,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0007690184494574,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0006483315017979,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0087679150024207,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.002280360056689,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.00817684306315,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0035719547968932,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.003930752264879,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0018981608458526,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0048886647485869,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0045919105369056,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0025816318464844,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.004678810769726,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0055785305239021,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0039455210065213,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0021595240566195,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0049676224861427,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0005092980421569,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0005146093316292,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0011799544388008,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0031083257007854,0.0,0.0,0.0,-0.054552618045869194
0,0,0,0.0053417202402856,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0058242402756513,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0010645276243408,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.003679157388053,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.000209835240967,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0017974906068298,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0034486713435744,0.0,0.0,0.0,-0.054552618045869194
0,0,0,0.0114595978899675,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.005170882013272,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0003183967034548,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0036061247528904,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0016295120776504,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0016673914373265,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0063719917226331,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0046577044696649,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0006691346653069,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.000849770857618,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0045688884088861,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0043929343163595,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0033081874641727,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0040524129422336,0.0,0.0,0.0,-0.054552618045869194
0,0,0,0.0060666741817955,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0101099621326465,-0.0,0.0,-0.0,-0.054552618045869194
1,1,1,0.0080876464468372,0.0080876464468372,0.005,0.0030876464468371995,-0.05163341079630701
0,0,-1,-0.0003218040411337,-0.0,0.005,-0.005,-0.0563752437423255
0,0,0,-0.0007826088068852,-0.0,0.0,-0.0,-0.0563752437423255
0,0,0,-0.0004680796080802,-0.0,0.0,-0.0,-0.0563752437423255
1,1,1,0.0022205645126358,0.0022205645126358,0.005,-0.0027794354873642,-0.05899798787662347
0,0,-1,-0.0083058034139737,-0.0,0.005,-0.005,-0.06370299793724032
0,0,0,-0.0134652849622359,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0009056633696012,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0028891520749483,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0028483292130493,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0075683681673028,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0001931458016272,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0077685757124507,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0073443147826403,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0032734719452297,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0023036589239045,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.001368112972246,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0029796538164743,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0102816351514329,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0073023248773794,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0013170870017955,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0053888236187665,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0059489206725767,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.003505892515303,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0039459891703729,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.002415192821227,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0016460949172731,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0019207489115146,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0029292023741184,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0059555130085656,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0022668168040304,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0011228112677595,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0086216076729828,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0022442783756849,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0024591636867789,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0089495300202928,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0028803547497774,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.003740568395085,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0006737881073508,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,5.518224337481138e-05,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0026530063431246,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0094063884173328,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0143374383044031,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0031544766550398,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0082919254180551,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0046205034042713,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.003058926946508,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0081967876801236,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0087386633773856,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0120997856751969,0.0,0.0,0.0,-0.06370299793724032
0,0,0,-0.0017102584340095,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0007847441118927,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0013425724133289,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0101304909764507,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,-0.0028933903958616,-0.0,0.0,-0.0,-0.06370299793724032
0,0,0,0.0002073130228613,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0056662261413323,0.0,0.0,0.0,-0.06370299793724032
0,0,0,0.0033057719884125,0.0,0.0,0.0,-0.06370299793724032
-1,-1,-1,-0.0030390431382622,0.0030390431382622,0.005,-0.0019609568617378003,-0.06553903596805988
0,0,1,0.0002024853359651,0.0,0.005,-0.005,-0.07021134078821956
1,1,1,0.0013932826710198,0.0013932826710198,0.005,-0.0036067173289802,-0.07356482565768796
0,0,-1,-0.0046192637835263,-0.0,0.005,-0.005,-0.07819700152939957
0,0,0,0.0069245782968059,0.0,0.0,0.0,-0.07819700152939957
0,0,0,-0.0010421272064672,-0.0,0.0,-0.0,-0.07819700152939957
0,0,0,0.0048691958841949,0.0,0.0,0.0,-0.07819700152939957
0,0,0,0.0008943275511566,0.0,0.0,0.0,-0.07819700152939957
0,0,0,-0.0028544118215983,-0.0,0.0,-0.0,-0.07819700152939957
0,0,0,0.0004075885913474,0.0,0.0,0.0,-0.07819700152939957
0,0,0,-0.004712097660447,-0.0,0.0,-0.0,-0.07819700152939957
0,0,0,-0.0010047217763925,-0.0,0.0,-0.0,-0.07819700152939957
0,0,0,-0.0095229216571023,-0.0,0.0,-0.0,-0.07819700152939957
-1,-1,-1,-0.0097137314288702,0.0097137314288702,0.005,0.004713731428870199,-0.07385186976428204
0,0,1,-0.0026088094335035,-0.0,0.005,-0.005,-0.07848261041546067
0,0,0,-0.0179601189567064,-0.0,0.0,-0.0,-0.07848261041546067
0,0,0,0.003508641423571,0.0,0.0,0.0,-0.07848261041546067
0,0,0,-0.0035129627100053,-0.0,0.0,-0.0,-0.07848261041546067
0,0,0,-0.008114377825744,-0.0,0.0,-0.0,-0.07848261041546067
0,0,0,-0.0025640406346024,-0.0,0.0,-0.0,-0.07848261041546067
-1,-1,-1,0.0016318560579697,-0.0016318560579697,0.005,-0.0066318560579697,-0.08459398109810135
0,0,1,-0.0054866206842743,-0.0,0.005,-0.005,-0.08917101119261084
0,0,0,0.0022688511627339,0.0,0.0,0.0,-0.08917101119261084
0,0,0,0.0073562697209012,0.0,0.0,0.0,-0.08917101119261084
